SCHOOLS,ENROLLMENT,ABSENT,% ABSENT,% PRESENT,SCHOOL_TYPE,WEEK
WOODBRIDGE ELEMENTARY,657,0,0,1,ELEMENTARY,4/17/2020
WOODMONT CHARTER SCHOOL,730,0,0,1,CHARTER,4/17/2020
SPORTS LEADERSHIP & MANAG ACAD,411,163,0.3966,0.6034,CHARTER,4/24/2020
OAK PARK ELEMENTARY,518,142,0.2741,0.7259,ELEMENTARY,4/24/2020
DURANT HIGH SCHOOL,2410,344,0.1427,0.8573,HIGH,4/24/2020
EDISON ELEMENTARY,390,52,0.1333,0.8667,ELEMENTARY,4/24/2020
GIBSONTON ELEMENTARY,557,73,0.1311,0.8689,ELEMENTARY,4/24/2020
KENLY ELEMENTARY,491,62,0.1263,0.8737,ELEMENTARY,4/24/2020
WIMAUMA ELEMENTARY,603,72,0.1194,0.8806,ELEMENTARY,4/24/2020
MILES ELEMENTARY,831,99,0.1191,0.8809,ELEMENTARY,4/24/2020
PIVOT CHARTER SCHOOL,212,24,0.1132,0.8868,CHARTER,4/24/2020
GIUNTA MIDDLE SCHOOL,814,87,0.1069,0.8931,MIDDLE,4/24/2020
BING ELEMENTARY,485,51,0.1052,0.8948,ELEMENTARY,4/24/2020
JUST ELEMENTARY,272,28,0.1029,0.8971,ELEMENTARY,4/24/2020
DR CARTER G WOODSON K-8,1083,110,0.1016,0.8984,ALTERNATIVE,4/24/2020
JAMES ELEMENTARY,554,54,0.0975,0.9025,ELEMENTARY,4/24/2020
EAST BAY HIGH SCHOOL,2390,232,0.0971,0.9029,HIGH,4/24/2020
TRAPNELL ELEMENTARY,571,52,0.0911,0.9089,ELEMENTARY,4/24/2020
SLAM ACADEMY AT APOLLO BEACH,538,48,0.0892,0.9108,CHARTER,4/24/2020
FOSTER ELEMENTARY,450,40,0.0889,0.9111,ELEMENTARY,4/24/2020
MEMORIAL MIDDLE SCHOOL,716,61,0.0852,0.9148,MIDDLE,4/24/2020
MORT ELEMENTARY,1025,87,0.0849,0.9151,ELEMENTARY,4/24/2020
SULPHUR SPRINGS K-8 COMMUNITY,773,65,0.0841,0.9159,ALTERNATIVE,4/24/2020
CLEVELAND ELEMENTARY,389,30,0.0771,0.9229,ELEMENTARY,4/24/2020
SHIELDS MIDDLE SCHOOL,1840,140,0.0761,0.9239,MIDDLE,4/24/2020
GRAHAM ELEMENTARY,359,27,0.0752,0.9248,ELEMENTARY,4/24/2020
BOWERS-WHITLEY CAREER CENTER,100,7,0.07,0.93,ALTERNATIVE,4/24/2020
DICKENSON ELEMENTARY,634,44,0.0694,0.9306,ELEMENTARY,4/24/2020
DESOTO ELEMENTARY,253,17,0.0672,0.9328,ELEMENTARY,4/24/2020
KINGSWOOD ELEMENTARY,493,33,0.0669,0.9331,ELEMENTARY,4/24/2020
SIMMONS EXCEPTIONAL CENTER,30,2,0.0667,0.9333,ALTERNATIVE,4/24/2020
FOREST HILLS ELEMENTARY,775,48,0.0619,0.9381,ELEMENTARY,4/24/2020
BRIDGEPREP ACADEMY OF RIVERVIE,1051,65,0.0618,0.9382,CHARTER,4/24/2020
PLANT CITY HIGH SCHOOL,2294,139,0.0606,0.9394,HIGH,4/24/2020
SIMMONS CAREER CENTER,220,13,0.0591,0.9409,ALTERNATIVE,4/24/2020
LOCKHART ELEMENTARY MAGNET,384,22,0.0573,0.9427,ELEMENTARY,4/24/2020
TURKEY CREEK MIDDLE SCHOOL,1087,60,0.0552,0.9448,MIDDLE,4/24/2020
PALM RIVER ELEMENTARY,537,29,0.054,0.946,ELEMENTARY,4/24/2020
WILLIS PETERS EXCEPTIONAL CTR,75,4,0.0533,0.9467,ALTERNATIVE,4/24/2020
BURNETT MIDDLE SCHOOL,770,41,0.0532,0.9468,MIDDLE,4/24/2020
TEMPLE TERRACE ELEMENTARY,594,31,0.0522,0.9478,ELEMENTARY,4/24/2020
PIERCE MIDDLE SCHOOL,922,48,0.0521,0.9479,MIDDLE,4/24/2020
THOMPSON ELEMENTARY,772,40,0.0518,0.9482,ELEMENTARY,4/24/2020
LOPEZ ELEMENTARY,583,30,0.0515,0.9485,ELEMENTARY,4/24/2020
YOUNG MIDDLE MAGNET,609,31,0.0509,0.9491,MIDDLE,4/24/2020
ROBINSON ELEMENTARY,690,34,0.0493,0.9507,ELEMENTARY,4/24/2020
BRYAN PLANT CITY ELEMENTARY,733,36,0.0491,0.9509,ELEMENTARY,4/24/2020
TAMPA BAY BOULEVARD ELEMENTARY,634,31,0.0489,0.9511,ELEMENTARY,4/24/2020
PIZZO K-8 SCHOOL,997,48,0.0481,0.9519,ALTERNATIVE,4/24/2020
MANGO ELEMENTARY,731,35,0.0479,0.9521,ELEMENTARY,4/24/2020
WEST SHORE ELEMENTARY,402,19,0.0473,0.9527,ELEMENTARY,4/24/2020
CLAIR MEL ELEMENTARY,558,26,0.0466,0.9534,ELEMENTARY,4/24/2020
JACKSON ELEMENTARY,547,25,0.0457,0.9543,ELEMENTARY,4/24/2020
LOPEZ EXCEPTIONAL CENTER,66,3,0.0455,0.9545,ALTERNATIVE,4/24/2020
REDDICK ELEMENTARY,932,42,0.0451,0.9549,ELEMENTARY,4/24/2020
HILLSBOROUGH HIGH SCHOOL,1798,80,0.0445,0.9555,HIGH,4/24/2020
EXCELSIOR PREP CHARTER SCHOOL,182,8,0.044,0.956,CHARTER,4/24/2020
LANIER ELEMENTARY,390,17,0.0436,0.9564,ELEMENTARY,4/24/2020
ARMWOOD HIGH SCHOOL,2164,93,0.043,0.957,HIGH,4/24/2020
FOLSOM ELEMENTARY,470,20,0.0426,0.9574,ELEMENTARY,4/24/2020
SCHMIDT ELEMENTARY,637,27,0.0424,0.9576,ELEMENTARY,4/24/2020
IPPOLITO ELEMENTARY,592,25,0.0422,0.9578,ELEMENTARY,4/24/2020
DUNBAR ELEMENTARY,238,10,0.042,0.958,ELEMENTARY,4/24/2020
ANDERSON ELEMENTARY,383,16,0.0418,0.9582,ELEMENTARY,4/24/2020
CHAMBERLAIN HIGH SCHOOL,1416,59,0.0417,0.9583,HIGH,4/24/2020
LOMAX ELEMENTARY MAGNET,350,14,0.04,0.96,ELEMENTARY,4/24/2020
VALRICO ELEMENTARY,803,32,0.0399,0.9601,ELEMENTARY,4/24/2020
WITTER ELEMENTARY,627,25,0.0399,0.9601,ELEMENTARY,4/24/2020
MADISON MIDDLE SCHOOL,682,27,0.0396,0.9604,MIDDLE,4/24/2020
MARSHALL MIDDLE SCHOOL,922,36,0.039,0.961,MIDDLE,4/24/2020
RIVERVIEW ELEMENTARY,600,23,0.0383,0.9617,ELEMENTARY,4/24/2020
POTTER ELEMENTARY,529,20,0.0378,0.9622,ELEMENTARY,4/24/2020
DOVER ELEMENTARY,658,24,0.0365,0.9635,ELEMENTARY,4/24/2020
BUCHANAN MIDDLE SCHOOL,751,27,0.036,0.964,MIDDLE,4/24/2020
NORTH TAMPA EPIC3 CENTER,113,4,0.0354,0.9646,ALTERNATIVE,4/24/2020
SEFFNER ELEMENTARY,452,16,0.0354,0.9646,ELEMENTARY,4/24/2020
FROST ELEMENTARY,548,19,0.0347,0.9653,ELEMENTARY,4/24/2020
SPRINGHEAD ELEMENTARY,829,28,0.0338,0.9662,ELEMENTARY,4/24/2020
TOWN AND COUNTRY ELEMENTARY,444,15,0.0338,0.9662,ELEMENTARY,4/24/2020
MULLER ELEMENTARY MAGNET,421,14,0.0333,0.9667,ELEMENTARY,4/24/2020
COLSON ELEMENTARY,697,23,0.033,0.967,ELEMENTARY,4/24/2020
CORR ELEMENTARY,761,25,0.0329,0.9671,ELEMENTARY,4/24/2020
PEPIN ACADEMIES,807,26,0.0322,0.9678,CHARTER,4/24/2020
CRESTWOOD ELEMENTARY,876,28,0.032,0.968,ELEMENTARY,4/24/2020
OAK GROVE ELEMENTARY,843,27,0.032,0.968,ELEMENTARY,4/24/2020
KNIGHTS ELEMENTARY,778,24,0.0308,0.9692,ELEMENTARY,4/24/2020
BLAKE HIGH SCHOOL,1663,51,0.0307,0.9693,HIGH,4/24/2020
RODGERS MIDDLE SCHOOL,867,26,0.03,0.97,MIDDLE,4/24/2020
BELLAMY ELEMENTARY,606,17,0.0281,0.9719,ELEMENTARY,4/24/2020
CANNELLA ELEMENTARY,645,18,0.0279,0.9721,ELEMENTARY,4/24/2020
COMMUNITY CHARTER SCHOOL OF EX,252,7,0.0278,0.9722,CHARTER,4/24/2020
DAVIS ELEMENTARY,692,19,0.0275,0.9725,ELEMENTARY,4/24/2020
WILSON ELEMENTARY,363,10,0.0275,0.9725,ELEMENTARY,4/24/2020
SUMMERFIELD ELEMENTARY,812,22,0.0271,0.9729,ELEMENTARY,4/24/2020
CHIARAMONTE ELEMENTARY,371,10,0.027,0.973,ELEMENTARY,4/24/2020
RUSKIN ELEMENTARY,780,21,0.0269,0.9731,ELEMENTARY,4/24/2020
AVANT GARDE ACADEMY,373,10,0.0268,0.9732,CHARTER,4/24/2020
WALDEN LAKE ELEMENTARY,828,22,0.0266,0.9734,ELEMENTARY,4/24/2020
DOWDELL MIDDLE SCHOOL,615,16,0.026,0.974,MIDDLE,4/24/2020
LAKE MAGDALENE ELEMENTARY,785,20,0.0255,0.9745,ELEMENTARY,4/24/2020
NELSON ELEMENTARY,777,19,0.0245,0.9755,ELEMENTARY,4/24/2020
WOODBRIDGE ELEMENTARY,657,15,0.0228,0.9772,ELEMENTARY,4/24/2020
SHEEHY ELEMENTARY,367,8,0.0218,0.9782,ELEMENTARY,4/24/2020
ROBINSON HIGH SCHOOL,1452,31,0.0213,0.9787,HIGH,4/24/2020
MANN MIDDLE SCHOOL,900,18,0.02,0.98,MIDDLE,4/24/2020
LIBERTY MIDDLE SCHOOL,1160,23,0.0198,0.9802,MIDDLE,4/24/2020
BALLAST POINT ELEMENTARY,508,10,0.0197,0.9803,ELEMENTARY,4/24/2020
RAMPELLO DOWNTOWN PARTNERSHIP,765,15,0.0196,0.9804,ALTERNATIVE,4/24/2020
FRANKLIN (BOYS) MIDDLE MAGNET,513,10,0.0195,0.9805,MIDDLE,4/24/2020
WARREN HOPE DAWSON ELEMENTARY,768,15,0.0195,0.9805,ELEMENTARY,4/24/2020
BURNEY ELEMENTARY,362,7,0.0193,0.9807,ELEMENTARY,4/24/2020
BUCKHORN ELEMENTARY,781,15,0.0192,0.9808,ELEMENTARY,4/24/2020
CYPRESS CREEK ELEMENTARY,992,19,0.0192,0.9808,ELEMENTARY,4/24/2020
BENITO MIDDLE SCHOOL,1109,21,0.0189,0.9811,MIDDLE,4/24/2020
SYMMES ELEMENTARY,478,9,0.0188,0.9812,ELEMENTARY,4/24/2020
WILLIAMS MIDDLE SCHOOL,807,15,0.0186,0.9814,MIDDLE,4/24/2020
FOCUS ACADEMY,108,2,0.0185,0.9815,CHARTER,4/24/2020
TWIN LAKES ELEMENTARY,658,12,0.0182,0.9818,ELEMENTARY,4/24/2020
LIMONA ELEMENTARY,610,11,0.018,0.982,ELEMENTARY,4/24/2020
ALONSO HIGH SCHOOL,2497,44,0.0176,0.9824,HIGH,4/24/2020
TAMPA HEIGHTS ELEM MAGNET,293,5,0.0171,0.9829,ELEMENTARY,4/24/2020
APOLLO BEACH ELEMENTARY,658,11,0.0167,0.9833,ELEMENTARY,4/24/2020
DOROTHY THOMAS EXCEPTIONAL CTR,60,1,0.0167,0.9833,ALTERNATIVE,4/24/2020
WATERS CAREER CENTER,121,2,0.0165,0.9835,ALTERNATIVE,4/24/2020
BROOKER ELEMENTARY,916,15,0.0164,0.9836,ELEMENTARY,4/24/2020
CITRUS PARK ELEMENTARY,610,10,0.0164,0.9836,ELEMENTARY,4/24/2020
HERITAGE ELEMENTARY,562,9,0.016,0.984,ELEMENTARY,4/24/2020
MONROE MIDDLE SCHOOL,379,6,0.0158,0.9842,MIDDLE,4/24/2020
ALEXANDER ELEMENTARY,586,9,0.0154,0.9846,ELEMENTARY,4/24/2020
CLAYWELL ELEMENTARY,730,10,0.0137,0.9863,ELEMENTARY,4/24/2020
BARRINGTON MIDDLE SCHOOL,1616,22,0.0136,0.9864,MIDDLE,4/24/2020
BT WASHINGTON ELEMENTARY,440,6,0.0136,0.9864,ELEMENTARY,4/24/2020
MANISCALCO K-8 SCHOOL,737,10,0.0136,0.9864,ALTERNATIVE,4/24/2020
WEST TAMPA ELEMENTARY,442,6,0.0136,0.9864,ELEMENTARY,4/24/2020
CORK ELEMENTARY,690,9,0.013,0.987,ELEMENTARY,4/24/2020
LAVOY EXCEPTIONAL CENTER,77,1,0.013,0.987,ALTERNATIVE,4/24/2020
MITCHELL ELEMENTARY,770,10,0.013,0.987,ELEMENTARY,4/24/2020
NORTHWEST ELEMENTARY,705,9,0.0128,0.9872,ELEMENTARY,4/24/2020
CLARK ELEMENTARY,866,11,0.0127,0.9873,ELEMENTARY,4/24/2020
JENNINGS MIDDLE SCHOOL,721,9,0.0125,0.9875,MIDDLE,4/24/2020
COLLINS ELEMENTARY,1017,12,0.0118,0.9882,ELEMENTARY,4/24/2020
TAMPA PALMS ELEMENTARY,884,10,0.0113,0.9887,ELEMENTARY,4/24/2020
HAMMOND ELEMENTARY,735,8,0.0109,0.9891,ELEMENTARY,4/24/2020
TOMLIN MIDDLE SCHOOL,1669,18,0.0108,0.9892,MIDDLE,4/24/2020
EGYPT LAKE ELEMENTARY,485,5,0.0103,0.9897,ELEMENTARY,4/24/2020
CAMINITI EXCEPTIONAL CENTER,99,1,0.0101,0.9899,ALTERNATIVE,4/24/2020
BLOOMINGDALE HIGH SCHOOL,2368,23,0.0097,0.9903,HIGH,4/24/2020
LOWRY ELEMENTARY,925,9,0.0097,0.9903,ELEMENTARY,4/24/2020
CHILES ELEMENTARY,952,9,0.0095,0.9905,ELEMENTARY,4/24/2020
BRANDON HIGH SCHOOL,1733,16,0.0092,0.9908,HIGH,4/24/2020
RIVERVIEW HIGH SCHOOL,2526,22,0.0087,0.9913,HIGH,4/24/2020
CIMINO ELEMENTARY,836,7,0.0084,0.9916,ELEMENTARY,4/24/2020
MORGAN WOODS ELEMENTARY,478,4,0.0084,0.9916,ELEMENTARY,4/24/2020
STEWART MIDDLE SCHOOL,953,8,0.0084,0.9916,MIDDLE,4/24/2020
CARROLLWOOD ELEMENTARY,757,6,0.0079,0.9921,ELEMENTARY,4/24/2020
LITHIA SPRINGS ELEMENTARY,640,5,0.0078,0.9922,ELEMENTARY,4/24/2020
MULRENNAN MIDDLE SCHOOL,1359,10,0.0074,0.9926,MIDDLE,4/24/2020
PRIDE ELEMENTARY,808,6,0.0074,0.9926,ELEMENTARY,4/24/2020
SHORE ELEMENTARY,423,3,0.0071,0.9929,ELEMENTARY,4/24/2020
KIMBELL ELEMENTARY,430,3,0.007,0.993,ELEMENTARY,4/24/2020
NAVIGATOR ACADEMY OF LEADERSHI,455,3,0.0066,0.9934,CHARTER,4/24/2020
ALAFIA ELEMENTARY,617,4,0.0065,0.9935,ELEMENTARY,4/24/2020
LEWIS ELEMENTARY,789,5,0.0063,0.9937,ELEMENTARY,4/24/2020
ROOSEVELT ELEMENTARY,789,5,0.0063,0.9937,ELEMENTARY,4/24/2020
BOYETTE SPRINGS ELEMENTARY,811,5,0.0062,0.9938,ELEMENTARY,4/24/2020
PLATO ACADEMY TAMPA CHARTER SC,166,1,0.006,0.994,CHARTER,4/24/2020
COLEMAN MIDDLE SCHOOL,1030,6,0.0058,0.9942,MIDDLE,4/24/2020
MCDONALD ELEMENTARY,530,3,0.0057,0.9943,ELEMENTARY,4/24/2020
HUNTER'S GREEN ELEMENTARY,736,4,0.0054,0.9946,ELEMENTARY,4/24/2020
PROGRESS VILLAGE MIDDLE SCHOOL,927,5,0.0054,0.9946,MIDDLE,4/24/2020
LEARNING GATE COMMUNITY,777,4,0.0051,0.9949,CHARTER,4/24/2020
MINTZ ELEMENTARY,785,4,0.0051,0.9949,ELEMENTARY,4/24/2020
PINECREST ELEMENTARY,590,3,0.0051,0.9949,ELEMENTARY,4/24/2020
DAVIDSEN MIDDLE SCHOOL,1067,5,0.0047,0.9953,MIDDLE,4/24/2020
FREEDOM HIGH SCHOOL,1746,8,0.0046,0.9954,HIGH,4/24/2020
LINCOLN ELEMENTARY MAGNET,486,2,0.0041,0.9959,ELEMENTARY,4/24/2020
RANDALL MIDDLE SCHOOL,1473,6,0.0041,0.9959,MIDDLE,4/24/2020
MARTINEZ MIDDLE SCHOOL,1237,5,0.004,0.996,MIDDLE,4/24/2020
LUTZ K-8 SCHOOL,762,3,0.0039,0.9961,ALTERNATIVE,4/24/2020
MENDENHALL ELEMENTARY,536,2,0.0037,0.9963,ELEMENTARY,4/24/2020
KING HIGH SCHOOL,1717,6,0.0035,0.9965,HIGH,4/24/2020
GAITHER HIGH SCHOOL,2054,7,0.0034,0.9966,HIGH,4/24/2020
BAY CREST ELEMENTARY,607,2,0.0033,0.9967,ELEMENTARY,4/24/2020
SCHWARZKOPF ELEMENTARY,621,2,0.0032,0.9968,ELEMENTARY,4/24/2020
WESTCHASE ELEMENTARY,959,3,0.0031,0.9969,ELEMENTARY,4/24/2020
SMITH MIDDLE SCHOOL,778,2,0.0026,0.9974,MIDDLE,4/24/2020
STOWERS ELEMENTARY,900,2,0.0022,0.9978,ELEMENTARY,4/24/2020
DEER PARK ELEMENTARY,986,2,0.002,0.998,ELEMENTARY,4/24/2020
STEINBRENNER HIGH SCHOOL,2509,5,0.002,0.998,HIGH,4/24/2020
FISHHAWK CREEK ELEMENTARY,1141,2,0.0018,0.9982,ELEMENTARY,4/24/2020
GORRIE ELEMENTARY,567,1,0.0018,0.9982,ELEMENTARY,4/24/2020
TINKER K-8 SCHOOL,543,1,0.0018,0.9982,ALTERNATIVE,4/24/2020
BURNS MIDDLE SCHOOL,1383,2,0.0014,0.9986,MIDDLE,4/24/2020
MABRY ELEMENTARY,872,1,0.0011,0.9989,ELEMENTARY,4/24/2020
TURNER BARTELS K-8,1762,2,0.0011,0.9989,ALTERNATIVE,4/24/2020
BRYANT ELEMENTARY,961,1,0.001,0.999,ELEMENTARY,4/24/2020
TAMPA BAY TECH HIGH SCHOOL,2044,2,0.001,0.999,HIGH,4/24/2020
WALKER MIDDLE MAGNET,978,1,0.001,0.999,MIDDLE,4/24/2020
LENNARD HIGH SCHOOL,3193,3,0.0009,0.9991,HIGH,4/24/2020
STRAWBERRY CREST HIGH SCHOOL,2244,1,0.0004,0.9996,HIGH,4/24/2020
ACTS,15,0,0,1,ALTERNATIVE,4/24/2020
ADAMS MIDDLE SCHOOL,773,0,0,1,MIDDLE,4/24/2020
ADVANTAGE ACADEMY OF HILLSBORO,447,0,0,1,CHARTER,4/24/2020
AMI KIDS YES,31,0,0,1,ALTERNATIVE,4/24/2020
BAILEY ELEMENTARY,759,0,0,1,ELEMENTARY,4/24/2020
BELL CREEK ACADEMY,564,0,0,1,CHARTER,4/24/2020
BELL CREEK ACADEMY HIGH SCHOOL,527,0,0,1,CHARTER,4/24/2020
BEVIS ELEMENTARY,890,0,0,1,ELEMENTARY,4/24/2020
BRANDON EPIC3 CENTER,112,0,0,1,ALTERNATIVE,4/24/2020
BRIDGEPREP ACADEMY OF TAMPA,342,0,0,1,CHARTER,4/24/2020
BROOKS DEBARTOLO COLLEGIATE,611,0,0,1,CHARTER,4/24/2020
BROWARD ELEMENTARY,329,0,0,1,ELEMENTARY,4/24/2020
CARVER EXCEPTIONAL CENTER,47,0,0,1,ALTERNATIVE,4/24/2020
CHANNELSIDE ACAD MATH AND SCI,521,0,0,1,CHARTER,4/24/2020
COLUMBUS JUVENILE RESIDENTIAL,35,0,0,1,ALTERNATIVE,4/24/2020
CREEKSIDE CHARTER ACADEMY,646,0,0,1,CHARTER,4/24/2020
DETENTION CENTER WEST,25,0,0,1,ALTERNATIVE,4/24/2020
DOBY ELEMENTARY,870,0,0,1,ELEMENTARY,4/24/2020
DR KIRAN C PATEL HIGH SCHOOL,241,0,0,1,CHARTER,4/24/2020
EARLY CHILDHOOD PROGRAMS,1,0,0,1,ALTERNATIVE,4/24/2020
EAST TAMPA ACADEMY,61,0,0,1,CHARTER,4/24/2020
EISENHOWER MIDDLE SCHOOL,1451,0,0,1,MIDDLE,4/24/2020
ENCORE,37,0,0,1,ALTERNATIVE,4/24/2020
ESE BIRTH THROUGH AGE 5,400,0,0,1,ALTERNATIVE,4/24/2020
ESE HOSPITAL/HOMEBOUND,157,0,0,1,ALTERNATIVE,4/24/2020
ESSRIG ELEMENTARY,629,0,0,1,ELEMENTARY,4/24/2020
FALKENBURG ROAD JAIL,9,0,0,1,ALTERNATIVE,4/24/2020
FARNELL MIDDLE SCHOOL,1276,0,0,1,MIDDLE,4/24/2020
FERRELL (GIRLS) MIDDLE MAGNET,572,0,0,1,MIDDLE,4/24/2020
FLORIDA AUTISM CHARTER SCHOOL,131,0,0,1,CHARTER,4/24/2020
FLORIDA CONNECTIONS ACADEMY,2189,0,0,1,CHARTER,4/24/2020
GRADY ELEMENTARY,538,0,0,1,ELEMENTARY,4/24/2020
GRECO MIDDLE SCHOOL,865,0,0,1,MIDDLE,4/24/2020
HENDERSON HAMMOCK CHARTER SCH,1111,0,0,1,CHARTER,4/24/2020
HILL MIDDLE SCHOOL,1079,0,0,1,MIDDLE,4/24/2020
HILLSBOROUGH ACAD MATH SCIENCE,844,0,0,1,CHARTER,4/24/2020
HILLSBOROUGH GIRLS ACADEMY,17,0,0,1,ALTERNATIVE,4/24/2020
HORIZON CHARTER SCH.OF TAMPA,307,0,0,1,CHARTER,4/24/2020
INDEPENDENCE ACADEMY,942,0,0,1,CHARTER,4/24/2020
JEFFERSON HIGH SCHOOL,1615,0,0,1,HIGH,4/24/2020
KID'S COMMU COLLEGE CHARTER HS,213,0,0,1,CHARTER,4/24/2020
KIDS COMM COLLEGE SOUTHEAST MI,207,0,0,1,CHARTER,4/24/2020
KIDS COMMU COLLEGE RIVERVIEW S,571,0,0,1,CHARTER,4/24/2020
KIDS COMMU COLLEGE SOUTHEAST,374,0,0,1,CHARTER,4/24/2020
LAKE ACADEMY,24,0,0,1,ALTERNATIVE,4/24/2020
LAMB ELEMENTARY,677,0,0,1,ELEMENTARY,4/24/2020
LEGACY PREPARATORY ACADEMY,216,0,0,1,CHARTER,4/24/2020
LES PETERS ACADEMY,11,0,0,1,ALTERNATIVE,4/24/2020
LETO HIGH SCHOOL,2029,0,0,1,HIGH,4/24/2020
LITERACY LEADERSHIP TECH ACAD,628,0,0,1,CHARTER,4/24/2020
LUTZ PREPARATORY SCHOOL,782,0,0,1,CHARTER,4/24/2020
MACFARLANE PARK ELEM MAGNET,358,0,0,1,ELEMENTARY,4/24/2020
MCKITRICK ELEMENTARY,1048,0,0,1,ELEMENTARY,4/24/2020
MCLANE MIDDLE SCHOOL,716,0,0,1,MIDDLE,4/24/2020
MENDEZ EXCEPTIONAL CENTER,14,0,0,1,ALTERNATIVE,4/24/2020
MIDDLETON HIGH SCHOOL,1515,0,0,1,HIGH,4/24/2020
NEW SPRINGS SCHOOL,426,0,0,1,CHARTER,4/24/2020
NEWSOME HIGH SCHOOL,2994,0,0,1,HIGH,4/24/2020
ORANGE GROVE MIDDLE MAGNET,497,0,0,1,MIDDLE,4/24/2020
PACE CENTER FOR GIRLS,58,0,0,1,ALTERNATIVE,4/24/2020
PLANT HIGH SCHOOL,2515,0,0,1,HIGH,4/24/2020
RCMA LEADERSHIP ACADEMY,117,0,0,1,CHARTER,4/24/2020
RCMA WIMAUMA ACADEMY,226,0,0,1,CHARTER,4/24/2020
RIVERHILLS ELEMENTARY MAGNET,509,0,0,1,ELEMENTARY,4/24/2020
RIVERVIEW ACADEMY OF MATH SCIE,617,0,0,1,CHARTER,4/24/2020
ROBLES ELEMENTARY,762,0,0,1,ELEMENTARY,4/24/2020
ROLAND PARK K-8 MAGNET,803,0,0,1,ALTERNATIVE,4/24/2020
SEMINOLE ELEMENTARY,426,0,0,1,ELEMENTARY,4/24/2020
SEMINOLE HEIGHTS CHARTER SCH,231,0,0,1,CHARTER,4/24/2020
SESSUMS ELEMENTARY,1019,0,0,1,ELEMENTARY,4/24/2020
SHAW ELEMENTARY,737,0,0,1,ELEMENTARY,4/24/2020
SICKLES HIGH SCHOOL,2414,0,0,1,HIGH,4/24/2020
SLIGH MIDDLE SCHOOL,556,0,0,1,MIDDLE,4/24/2020
SOUTH COUNTY CAREER CENTER,225,0,0,1,ALTERNATIVE,4/24/2020
SOUTHSHORE CHARTER ACADEMY,1089,0,0,1,CHARTER,4/24/2020
SPOTO HIGH SCHOOL,1640,0,0,1,HIGH,4/24/2020
SULLIVAN PARTNERSHIP ELEM,98,0,0,1,ELEMENTARY,4/24/2020
SUMMERFIELD CROSSINGS ELEM,1022,0,0,1,ELEMENTARY,4/24/2020
SUNLAKE ACAD OF MATH & SCIENCE,705,0,0,1,CHARTER,4/24/2020
TAMPA RESIDENTIAL FACILITY,41,0,0,1,ALTERNATIVE,4/24/2020
TERRACE COMMUNITY SCHOOL,657,0,0,1,CHARTER,4/24/2020
THE COLLABORATORY PREP ACADEMY,106,0,0,1,CHARTER,4/24/2020
THONOTOSASSA ELEMENTARY,438,0,0,1,ELEMENTARY,4/24/2020
TITLE ONE PRIVATE SCHOOL,2,0,0,1,ALTERNATIVE,4/24/2020
TRINITY SCHOOL FOR CHILDREN,890,0,0,1,CHARTER,4/24/2020
VALRICO LAKE ADVANTAGE ACAD,919,0,0,1,CHARTER,4/24/2020
VILLAGE OF EXCELLENCE,237,0,0,1,CHARTER,4/24/2020
VILLAGE OF EXCELLENCE MS,102,0,0,1,CHARTER,4/24/2020
VIRT FULL-TIME-K-12 FRANCHISE,323,0,0,1,ALTERNATIVE,4/24/2020
WALTON ACADEMY,180,0,0,1,CHARTER,4/24/2020
WATERSET CHARTER SCHOOL,1135,0,0,1,CHARTER,4/24/2020
WEBB MIDDLE SCHOOL,785,0,0,1,MIDDLE,4/24/2020
WEST UNIVERSITY CHARTER H.S.,276,0,0,1,CHARTER,4/24/2020
WHARTON HIGH SCHOOL,2188,0,0,1,HIGH,4/24/2020
WILSON MIDDLE SCHOOL,657,0,0,1,MIDDLE,4/24/2020
WINTHROP CHARTER SCHOOL,1320,0,0,1,CHARTER,4/24/2020
WOODMONT CHARTER SCHOOL,732,0,0,1,CHARTER,4/24/2020
YATES ELEMENTARY,706,0,0,1,ELEMENTARY,4/24/2020